GroupId,EvaluationId,ObtainedMarks,EvaluationDate
1,1,85,2025-10-01
1,2,78,2025-10-15
1,3,82,2025-11-01
1,4,88,2025-12-01
1,5,90,2026-01-15
2,1,92,2025-10-01
2,2,88,2025-10-15
2,3,85,2025-11-01
2,4,91,2025-12-01
2,5,87,2026-01-15
3,1,75,2025-10-01
3,2,80,2025-10-15
3,3,72,2025-11-01
3,4,78,2025-12-01
3,5,82,2026-01-15
4,1,88,2025-10-01
4,2,85,2025-10-15
4,3,90,2025-11-01
4,4,86,2025-12-01
4,5,84,2026-01-15
5,1,70,2025-10-01
5,2,75,2025-10-15
5,3,68,2025-11-01
5,4,72,2025-12-01
5,5,78,2026-01-15
6,1,95,2025-10-01
6,2,92,2025-10-15
6,3,88,2025-11-01
6,4,94,2025-12-01
6,5,91,2026-01-15
7,1,82,2025-10-01
7,2,78,2025-10-15
7,3,85,2025-11-01
7,4,80,2025-12-01
7,5,83,2026-01-15
8,1,76,2025-10-01
8,2,82,2025-10-15
8,3,79,2025-11-01
8,4,85,2025-12-01
8,5,80,2026-01-15
9,1,90,2025-10-01
9,2,87,2025-10-15
9,3,92,2025-11-01
9,4,88,2025-12-01
9,5,85,2026-01-15
10,1,65,2025-10-01
10,2,70,2025-10-15
10,3,68,2025-11-01
10,4,72,2025-12-01
10,5,75,2026-01-15
36,1,55,2026-04-10
36,4,34,2026-04-106,7,45,2026-04-23
1,8,65,2026-04-23
